1481 [main] INFO  com.mock.server.Application - Starting Application on sparrow with PID 1602 (/home/shubham/IdeaProjects/Mock Server/target/classes started by shubham in /home/shubham/IdeaProjects/Mock Server) 
1483 [main] INFO  com.mock.server.Application - No active profile set, falling back to default profiles: default 
2430 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
2437 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
2437 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2437 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35] 
2528 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2528 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1005 ms 
2532 [main] INFO  com.mock.server.ServiceFactory - LOADING OLD DATA... 
2532 [main] INFO  com.mock.server.ServiceFactory - LOADED 0 OPERATIONS SUCCESSFULLY! 
2534 [main] INFO  com.mock.server.ServiceFactory - TOTAL TIME TAKEN: 0 ms 
2705 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2885 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
2909 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '' 
2921 [main] INFO  com.mock.server.Application - Started Application in 2.037 seconds (JVM running for 4.593) 
3007 [main] INFO  com.mock.server.ServiceFactory - Key generated for team: Test1 = efd1105dacdfa5c0 
3211 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 470871801 46949636 248254495 156851000 244021821 
3214 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1117038259 602090426 1011282647 64007402 1038073478 
3218 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 756917549 862268996 711936609 355264358 847995837 
3222 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 605607550 189832447 1069078361 643477316 103643638 
3225 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1164573472 394458321 320985509 886760732 772604154 
3228 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 94873228 349357998 926481203 140102511 42175101 
3231 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 764017418 1213438513 238553469 277968327 795154353 
3234 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 817347307 1074033538 992091150 1220912491 156080510 
3238 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 449032507 909708959 586852018 872953595 985070020 
3241 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 184147760 428276309 907779582 63680381 147571957 
3244 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 672063121 48091890 470315338 1206495625 1102822354 
3248 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 986784664 478585526 329862531 1045494140 151774450 
3251 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 35289545 994070172 1095238428 865603372 706853096 
3254 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 232893048 1114255981 563120568 711412921 409737376 
3262 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 697763284 343589303 916157788 1017527369 852286703 
3266 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1000781622 1197556195 221292933 312546702 206667538 
3270 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 69196576 297458717 1144082166 198142638 623809976 
3274 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 175345447 1118468362 995356947 987018289 526000457 
3278 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 832390941 237501210 83376716 880153388 853493773 
3282 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 864771597 601326078 473459177 627376854 219789984 
3286 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 946306117 973110268 1034412662 1063386595 1159988937 
3291 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 927188665 1083898888 345433392 869226633 79855661 
3296 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 409828636 448234682 816405243 86202316 1001737409 
3300 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 370411273 871842878 747873436 783835798 854117451 
3304 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 154245387 442126654 1089738069 409507236 66772274 
3308 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 728617602 570943803 606490047 986268512 988910719 
3312 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 948940093 687339260 611466251 764690372 41617020 
3316 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 16614524 491638176 881264786 496662131 35554143 
3320 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 252829922 881954381 355952276 288442307 538278122 
